Elmntkey,Study_Area,Sub_Area,Date Time,Side,Unitdesc,Peak Hour_SDOT,Parking_Spaces,Total_Vehicle_Count,Dp_Count,Rpz_Count,TG_Car2Go,BMW_DN,Lime,Idling,Field Notes,Construction,Event Closure,Subarea Label,Study Year,Peak Hour? (Yes or No),RPZ Blocks,CSM,Time Stamp
54074,South Lake Union,North,9/27/2017 20:00,S,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,,9,2,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:03:00 PM
54073,South Lake Union,North,9/27/2017 20:00,N,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,,10,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:03:00 PM
76721,South Lake Union,North,9/27/2017 20:00,N,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,,12,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:02:00 PM
76722,South Lake Union,North,9/27/2017 20:00,S,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,,7,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:02:00 PM
10161,South Lake Union,North,9/27/2017 20:00,W,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,,12,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:02:00 PM
10165,South Lake Union,North,9/27/2017 20:00,W,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3-7PM,10,0,,,,,,,Added Peak Hour - Metro Buses only,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:01:00 PM
120102,South Lake Union,North,9/27/2017 20:00,W,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,3-7PM,10,0,,,,,,,Added Peak Hour - Metro Buses only,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:01:00 PM
120105,South Lake Union,North,9/27/2017 20:00,NW,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,3-7PM,25,2,,,,,,,Added Peak Hour - Metro Buses only,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:01:00 PM
14601,South Lake Union,North,9/27/2017 20:00,NE,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,,3,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 08:01:00 PM
120107,South Lake Union,North,9/27/2017 20:00,SE,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,,13,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:59:00 PM
55454,South Lake Union,North,9/27/2017 20:00,SE,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,,8,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:59:00 PM
55453,South Lake Union,North,9/27/2017 20:00,NW,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,,20,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:57:00 PM
35881,South Lake Union,North,9/27/2017 19:00,N,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,,15,13,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:48:00 PM
35882,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,,0,0,,,,,,,Temp no parking signs on east end,Yes,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:48:00 PM
8405,South Lake Union,North,9/27/2017 19:00,W,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,,7,8,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:47:00 PM
8406,South Lake Union,North,9/27/2017 19:00,E,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,,10,6,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:47:00 PM
8625,South Lake Union,North,9/27/2017 19:00,W,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:44:00 PM
81497,South Lake Union,North,9/27/2017 19:00,SW,WESTLAKE AVE N BETWEEN VALLEY ST AND 9TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:44:00 PM
8626,South Lake Union,North,9/27/2017 19:00,E,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,,9,7,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:44:00 PM
12682,South Lake Union,North,9/27/2017 19:00,S,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,,14,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:35:00 PM
57201,South Lake Union,North,9/27/2017 19:00,W,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,,12,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:35:00 PM
81246,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,,15,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:34:00 PM
53549,South Lake Union,North,9/27/2017 19:00,W,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,,25,20,,,,,,,Updated Supply to 25 from 28,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:33:00 PM
58574,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,,11,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:31:00 PM
81242,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,,5,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:31:00 PM
76717,South Lake Union,North,9/27/2017 19:00,N,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,,2,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:30:00 PM
35886,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN BROAD ST AND TERRY AVE N,,8,3,,,,,,,updated supply to 8 from 6,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:30:00 PM
76714,South Lake Union,North,9/27/2017 19:00,S,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,,8,5,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:29:00 PM
76713,South Lake Union,North,9/27/2017 19:00,N,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,,4,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:29:00 PM
134961,South Lake Union,North,9/27/2017 19:00,W,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,,6,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,,ERROR: #N/A,09/27/2017 07:28:00 PM
77985,South Lake Union,North,9/27/2017 19:00,W,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,,4,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:28:00 PM
120107,South Lake Union,North,9/27/2017 19:00,SE,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,,13,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:27:00 PM
57993,South Lake Union,North,9/27/2017 19:00,N,ROY ST BETWEEN 8TH AVE N AND 9TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:25:00 PM
53546,South Lake Union,North,9/27/2017 19:00,E,8TH AVE N BETWEEN ROY ST AND VALLEY ST,,9,2,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:25:00 PM
53545,South Lake Union,North,9/27/2017 19:00,W,8TH AVE N BETWEEN ROY ST AND VALLEY ST,,19,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:25:00 PM
120805,South Lake Union,North,9/27/2017 19:00,N,ROY ST BETWEEN BROAD W ST AND 8TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:22:00 PM
57990,South Lake Union,North,9/27/2017 19:00,S,ROY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,5,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:22:00 PM
13262,South Lake Union,North,9/27/2017 19:00,S,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,4,5,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:22:00 PM
13261,South Lake Union,North,9/27/2017 19:00,N,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,,7,6,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:22:00 PM
77989,South Lake Union,North,9/27/2017 19:00,W,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,,0,2,,,,,,,temp no parking signs on a 2 spaces,Yes,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:22:00 PM
77982,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,,2,2,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:22:00 PM
94612,South Lake Union,North,9/27/2017 19:00,SE,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,,23,11,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:22:00 PM
94611,South Lake Union,North,9/27/2017 19:00,SE,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,,27,14,,,,1,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:20:00 PM
77993,South Lake Union,Unpaid,9/27/2017 19:00,W,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,,0,0,,,,,,,,Yes,No,South Lake Union (Unpaid Subarea),2017,No,0,N,09/27/2017 07:20:00 PM
94677,South Lake Union,North,9/27/2017 19:00,SE,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,,15,16,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:19:00 PM
32913,South Lake Union,Unpaid,9/27/2017 19:00,W,DEXTER AVE N BETWEEN LEE ST AND GALER ST,,0,0,,,,,,,not paid parking,No,No,South Lake Union (Unpaid Subarea),2017,No,0,N,09/27/2017 07:18:00 PM
32914,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN LEE ST AND GALER ST,,11,6,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:18:00 PM
77994,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,,8,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:16:00 PM
134965,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,,8,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,,ERROR: #N/A,09/27/2017 07:15:00 PM
77990,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,,8,5,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:15:00 PM
94602,South Lake Union,North,9/27/2017 19:00,SE,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,,28,22,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:14:00 PM
77986,South Lake Union,North,9/27/2017 19:00,E,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,,11,8,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,N,09/27/2017 07:14:00 PM
59045,South Lake Union,North,9/27/2017 19:00,W,YALE AVE N BETWEEN VALLEY ST AND ALOHA ST,,8,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 07:12:00 PM
